,index,year,وجه نقد,حساب دریافتنی,سرمایه گذاری کوتاه مدت,موجودی کالا,دارایی جاری,سرمایه گذاری بلند مدت,دارایی ثابت,دارایی نامشهود,دارایی,حساب پرداختنی,بدهی جاری,بدهی,سرمایه,سود انباشته,حقوق صاحبان سهام,season,stock,target
4684,3,1389.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4685,4,1390.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4686,5,1391.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4687,6,1392.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4688,7,1393.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4689,8,1394.0,911192.0,4974176.0,0.0,0.0,0.0,264247.0,3605432.0,0.0,44271467.0,910757.0,0.0,43244142.0,3233451.0,-1522253.0,1840826.0,3,وپست,22087269603540841
4690,9,1395.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4691,10,1396.0,,,,,,,,,,,,,,,,3,وپست,22087269603540841
4692,1,1387.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4693,2,1388.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4694,3,1389.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4695,4,1390.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4696,5,1391.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4697,6,1392.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4698,7,1393.0,,,,,,,,,,,,,,,,6,وپست,22087269603540841
4699,8,1394.0,926693.0,4799224.0,0.0,0.0,0.0,448027.0,3530804.0,39694.0,47757497.0,115812.0,0.0,45919181.0,3233451.0,-1524763.0,1838316.0,6,وپست,22087269603540841
4700,9,1395.0,881780.0,6058112.0,0.0,0.0,0.0,0.0,3518247.0,60562.0,61572971.0,497537.0,0.0,59654851.0,3233451.0,-1444959.0,1918120.0,6,وپست,22087269603540841
4701,10,1396.0,3110162.0,9042876.0,0.0,0.0,0.0,0.0,3740120.0,78524.0,82866692.0,201934.0,0.0,80930965.0,3233451.0,-1427352.0,1935727.0,6,وپست,22087269603540841
4702,1,1387.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4703,2,1388.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4704,3,1389.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4705,4,1390.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4706,5,1391.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4707,6,1392.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4708,7,1393.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4709,8,1394.0,911119.0,5122831.0,0.0,0.0,0.0,448027.0,3620003.0,0.0,57200541.0,48592.0,0.0,55049988.0,3233451.0,-1212526.0,2150553.0,9,وپست,22087269603540841
4710,9,1395.0,1060874.0,8462067.0,0.0,0.0,0.0,0.0,3591403.0,0.0,67445679.0,235775.0,0.0,65420531.0,3233451.0,-1291432.0,2025148.0,9,وپست,22087269603540841
4711,10,1396.0,,,,,,,,,,,,,,,,9,وپست,22087269603540841
4712,1,1386.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4713,2,1387.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4714,3,1388.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4715,4,1389.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4716,5,1390.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4717,6,1391.0,,,,,,,,,,,,,,,,12,وپست,22087269603540841
4718,7,1392.0,559662.0,4090273.0,0.0,0.0,0.0,517181.0,3513287.0,27963.0,35909694.0,3463882.0,0.0,32421662.0,561143.0,124953.0,3488032.0,12,وپست,22087269603540841
4719,8,1393.0,565212.0,5062943.0,0.0,0.0,0.0,0.0,3598016.0,38307.0,45398362.0,1024766.0,0.0,43344026.0,3233451.0,-1308743.0,2054336.0,12,وپست,22087269603540841
4720,9,1394.0,1149826.0,5897702.0,0.0,0.0,0.0,0.0,3578871.0,69659.0,57968477.0,378072.0,0.0,56098525.0,3233451.0,-1493127.0,1869952.0,12,وپست,22087269603540841
4721,10,1395.0,1917582.0,8345345.0,0.0,0.0,0.0,0.0,3588320.0,86311.0,67295016.0,447013.0,0.0,65365654.0,3233451.0,-1433717.0,1929362.0,12,وپست,22087269603540841
4722,1,1387.0,,,,,,,,,,,,,,,,3,واتي,33541897671561960
4723,2,1388.0,,,,,,,,,,,,,,,,3,واتي,33541897671561960
4724,3,1389.0,26022.0,1333697.0,241690.0,0.0,1964849.0,1837218.0,18965.0,88.0,4603771.0,1278649.0,1320540.0,3185702.0,1000000.0,350891.0,1418069.0,3,واتي,33541897671561960
4725,4,1390.0,15556.0,2029938.0,124832.0,0.0,2446711.0,1851761.0,22711.0,97.0,4591716.0,936195.0,989539.0,2854759.0,1000000.0,652058.0,1736957.0,3,واتي,33541897671561960
4726,5,1391.0,13644.0,1545648.0,56165.0,0.0,1832136.0,2127803.0,17550.0,88.0,4419943.0,626082.0,810888.0,2676006.0,1000000.0,637724.0,1743937.0,3,واتي,33541897671561960
4727,6,1392.0,7293.0,1815182.0,105688.0,0.0,2275434.0,2356930.0,18098.0,88.0,5008604.0,403745.0,544085.0,2409444.0,1000000.0,1494778.0,2599160.0,3,واتي,33541897671561960
4728,7,1393.0,2110.0,1557117.0,157950.0,0.0,2707087.0,2186371.0,118844.0,88.0,5811968.0,54278.0,96208.0,1962212.0,1000000.0,2745374.0,3849756.0,3,واتي,33541897671561960
4729,8,1394.0,57922.0,1719274.0,107776.0,0.0,2895598.0,2152852.0,22073.0,88.0,5678896.0,99818.0,858622.0,2725352.0,3000000.0,1849162.0,2953544.0,3,واتي,33541897671561960
4730,9,1395.0,214467.0,2920682.0,420585.0,0.0,3998040.0,2329337.0,22080.0,278.0,6855755.0,159762.0,1137207.0,1690615.0,3000000.0,2060758.0,5165140.0,3,واتي,33541897671561960
4731,10,1396.0,,,,,,,,,,,,,,,,3,واتي,33541897671561960
4732,1,1387.0,,,,,,,,,,,,,,,,6,واتي,33541897671561960
4733,2,1388.0,,,,,,,,,,,,,,,,3,حپارسا,917857106093847
4734,3,1389.0,,,,,,,,,,,,,,,,3,حپارسا,917857106093847
4735,2,1388.0,85006.0,1657133.0,161034.0,0.0,2015646.0,1835027.0,226583.0,810.0,4370045.0,1202099.0,1221877.0,3087007.0,1000000.0,221543.0,1283038.0,6,واتي,33541897671561960
4736,3,1389.0,24185.0,1531804.0,123467.0,0.0,2056215.0,1849899.0,18798.0,89.0,4454289.0,1104369.0,1145967.0,3011054.0,1000000.0,374796.0,1443235.0,6,واتي,33541897671561960
4737,4,1390.0,2984.0,1635050.0,109902.0,0.0,2075504.0,2042564.0,18173.0,88.0,4493708.0,805508.0,873269.0,2738479.0,1000000.0,669499.0,1755229.0,6,واتي,33541897671561960
4738,5,1391.0,15633.0,1454427.0,66721.0,0.0,1788681.0,2176501.0,17311.0,88.0,4377394.0,628519.0,736642.0,2601797.0,1000000.0,667836.0,1775597.0,6,واتي,33541897671561960
4739,6,1392.0,42032.0,1002532.0,153644.0,0.0,2500128.0,2417456.0,116473.0,88.0,5038502.0,446445.0,692201.0,2557785.0,1000000.0,1376335.0,2480717.0,6,واتي,33541897671561960
4740,7,1393.0,2371.0,1592364.0,165602.0,0.0,2797024.0,2226881.0,118857.0,88.0,5847868.0,87735.0,724890.0,2591371.0,1000000.0,2152115.0,3256497.0,6,واتي,33541897671561960
4741,8,1394.0,86469.0,2221381.0,275810.0,0.0,2833388.0,2286684.0,22068.0,88.0,5741767.0,94330.0,636918.0,1189767.0,3000000.0,1845724.0,4552000.0,6,واتي,33541897671561960
4742,9,1395.0,58511.0,0.0,479186.0,0.0,3897363.0,2467128.0,21366.0,278.0,6776496.0,0.0,1432902.0,1602358.0,4500000.0,2069217.0,5174138.0,6,واتي,33541897671561960
4743,10,1396.0,137986.0,0.0,1177921.0,0.0,5285909.0,3173654.0,22418.0,944.0,8583251.0,0.0,1515331.0,1520310.0,4500000.0,2384580.0,7062941.0,6,واتي,33541897671561960
4744,1,1387.0,,,,,,,,,,,,,,,,9,واتي,33541897671561960
4745,2,1388.0,19841.0,1683586.0,169503.0,0.0,1994422.0,2038339.0,225731.0,810.0,4497984.0,1335150.0,1352381.0,3217559.0,1000000.0,218930.0,1280425.0,9,واتي,33541897671561960
4746,3,1389.0,29138.0,1203790.0,128247.0,0.0,1781961.0,1850864.0,18553.0,88.0,3973640.0,634130.0,667168.0,2532298.0,1000000.0,372998.0,1441342.0,9,واتي,33541897671561960
4747,4,1390.0,14792.0,1465393.0,104510.0,0.0,1954621.0,2138311.0,17910.0,88.0,4469865.0,752500.0,820908.0,2686180.0,1000000.0,696595.0,1783685.0,9,واتي,33541897671561960
4748,5,1391.0,7120.0,1927505.0,80671.0,0.0,2303398.0,2332176.0,17493.0,88.0,5013939.0,555380.0,626433.0,2491678.0,1000000.0,1417879.0,2522261.0,9,واتي,33541897671561960
4749,6,1392.0,38266.0,687389.0,138649.0,0.0,2240064.0,2423484.0,115660.0,88.0,4779924.0,177079.0,322304.0,2188069.0,1000000.0,1487473.0,2591855.0,9,واتي,33541897671561960
4750,7,1393.0,3111.0,1491096.0,153848.0,0.0,2720633.0,2230024.0,120256.0,88.0,5771553.0,88172.0,666861.0,2533344.0,1000000.0,2133827.0,3238209.0,9,واتي,33541897671561960
4751,8,1394.0,153168.0,1287922.0,383495.0,0.0,2914147.0,2251076.0,22277.0,88.0,5787127.0,144231.0,999314.0,2866919.0,3000000.0,1700883.0,2920208.0,9,واتي,33541897671561960
4752,9,1395.0,101352.0,0.0,704864.0,0.0,3601797.0,2471419.0,21523.0,278.0,6485378.0,0.0,870887.0,1040236.0,4500000.0,2326656.0,5445142.0,9,واتي,33541897671561960
4753,10,1396.0,147544.0,0.0,1345790.0,0.0,5064380.0,3256741.0,22280.0,996.0,8444723.0,0.0,1362636.0,1367388.0,4500000.0,2398255.0,7077335.0,9,واتي,33541897671561960
4754,1,1386.0,,,,,,,,,,,,,,,,12,واتي,33541897671561960
4755,2,1387.0,95797.0,27784.0,144745.0,0.0,2057268.0,1967264.0,219321.0,810.0,4629793.0,1263242.0,1310482.0,3175593.0,1000000.0,385205.0,1454200.0,12,واتي,33541897671561960
4756,3,1388.0,23727.0,1403334.0,203581.0,0.0,1992123.0,1786295.0,19276.0,89.0,4580310.0,1286550.0,1318220.0,3183348.0,1000000.0,331310.0,1396962.0,12,واتي,33541897671561960
4757,4,1389.0,5345.0,1307220.0,141465.0,0.0,1774943.0,1929318.0,18156.0,88.0,4290374.0,938919.0,955407.0,2820549.0,1000000.0,386633.0,1469825.0,12,واتي,33541897671561960
4758,5,1390.0,6177.0,1521304.0,93910.0,0.0,1837764.0,2107121.0,17812.0,88.0,4444687.0,694634.0,723722.0,2588760.0,1000000.0,751545.0,1855927.0,12,واتي,33541897671561960
4759,6,1391.0,7120.0,1321885.0,80671.0,0.0,2267998.0,2278176.0,17493.0,88.0,5013939.0,555380.0,626434.0,2491679.0,1000000.0,1417878.0,2522260.0,12,واتي,33541897671561960
4760,7,1392.0,10112.0,1605704.0,206492.0,0.0,2579751.0,1862675.0,119006.0,88.0,5245710.0,99400.0,149420.0,2015269.0,1000000.0,2126059.0,3230441.0,12,واتي,33541897671561960
4761,8,1393.0,2614.0,2622564.0,130059.0,0.0,2944602.0,2037693.0,20666.0,88.0,5695516.0,201960.0,389436.0,2256275.0,1000000.0,2334859.0,3439241.0,12,واتي,33541897671561960
4762,9,1394.0,156467.0,0.0,436725.0,0.0,4357584.0,2152447.0,22029.0,278.0,6852362.0,0.0,639971.0,1193467.0,3000000.0,2814986.0,5658895.0,12,واتي,33541897671561960
4763,10,1395.0,53971.0,0.0,1012559.0,0.0,5286931.0,2500642.0,21032.0,278.0,8143331.0,0.0,780729.0,950426.0,4500000.0,3343267.0,7192905.0,12,واتي,33541897671561960
4764,1,1387.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4765,2,1388.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4766,3,1389.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4767,4,1390.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4768,5,1391.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4769,6,1392.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4770,7,1393.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4771,8,1394.0,820967.0,32102144.0,0.0,0.0,0.0,1518802.0,12964697.0,635109.0,381790244.0,39488646.0,0.0,373600165.0,8000000.0,8936.0,8190079.0,3,وآيند,46830341954511303
4772,9,1395.0,920278.0,62797815.0,0.0,0.0,0.0,0.0,10070201.0,992147.0,608933836.0,0.0,0.0,602466483.0,16000000.0,-1878697.0,6467353.0,3,وآيند,46830341954511303
4773,10,1396.0,,,,,,,,,,,,,,,,3,وآيند,46830341954511303
4774,1,1387.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4775,2,1388.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4776,3,1389.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4777,4,1390.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4778,5,1391.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4779,6,1392.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4780,7,1393.0,823108.0,28709444.0,0.0,0.0,0.0,1824086.0,11834177.0,633184.0,311365630.0,5671177.0,0.0,301961251.0,8000000.0,1174522.0,9404379.0,6,وآيند,46830341954511303
4781,8,1394.0,993182.0,40074618.0,0.0,0.0,0.0,13537628.0,12706897.0,848035.0,428686818.0,34947635.0,0.0,420748423.0,8000000.0,-242748.0,7938395.0,6,وآيند,46830341954511303
4782,9,1395.0,983110.0,70427679.0,0.0,0.0,0.0,0.0,9831109.0,991912.0,665343567.0,6367787.0,0.0,648585296.0,16000000.0,412222.0,16758271.0,6,وآيند,46830341954511303
4783,10,1396.0,,,,,,,,,,,,,,,,6,وآيند,46830341954511303
4784,1,1387.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4785,2,1388.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4786,3,1389.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4787,4,1390.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4788,5,1391.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4789,7,1393.0,887588.0,31508349.0,0.0,0.0,0.0,1826694.0,12431404.0,634599.0,334851319.0,33700559.0,0.0,325246837.0,8000000.0,1423339.0,9604482.0,9,وآيند,46830341954511303
4790,8,1394.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4791,9,1395.0,917803.0,76441612.0,0.0,0.0,0.0,0.0,9911865.0,991940.0,724261987.0,33901955.0,0.0,706542429.0,16000000.0,1274580.0,17719558.0,9,وآيند,46830341954511303
4792,10,1396.0,,,,,,,,,,,,,,,,9,وآيند,46830341954511303
4793,1,1386.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4794,2,1387.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4795,3,1388.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4796,4,1389.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4797,5,1390.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4798,6,1391.0,,,,,,,,,,,,,,,,12,وآيند,46830341954511303
4799,7,1392.0,748872.0,20087969.0,0.0,0.0,0.0,1688476.0,12442525.0,706440.0,259442242.0,0.0,0.0,250234623.0,8000000.0,1026476.0,9207619.0,12,وآيند,46830341954511303
4800,8,1393.0,608289.0,27906737.0,0.0,0.0,0.0,0.0,12770999.0,635099.0,359180726.0,97434597.0,0.0,351220069.0,8000000.0,-220486.0,7960657.0,12,وآيند,46830341954511303
4801,9,1394.0,939239.0,55744877.0,0.0,0.0,0.0,0.0,10281233.0,992038.0,550671281.0,7159375.0,0.0,541611248.0,16000000.0,713984.0,9060033.0,12,وآيند,46830341954511303
4802,10,1395.0,1157629.0,82067476.0,0.0,0.0,0.0,0.0,10039688.0,991955.0,790686309.0,52733096.0,0.0,771114194.0,16000000.0,2849253.0,19572115.0,12,وآيند,46830341954511303
4803,1,1387.0,,,,,,,,,,,,,,,,3,بورس,60523145697836739
4804,2,1388.0,,,,,,,,,,,,,,,,3,بورس,60523145697836739
4805,3,1389.0,,,,,,,,,,,,,,,,3,بورس,60523145697836739
4806,4,1390.0,12112.0,22746.0,250477.0,0.0,306550.0,30221.0,102951.0,1508.0,502299.0,739.0,128229.0,135484.0,300000.0,60720.0,366815.0,3,بورس,60523145697836739
4807,5,1391.0,9741.0,17856.0,193296.0,0.0,245509.0,31299.0,239124.0,1381.0,577186.0,138.0,61137.0,72137.0,300000.0,137636.0,505049.0,3,بورس,60523145697836739
4808,6,1392.0,11998.0,32452.0,250000.0,0.0,324279.0,31299.0,383615.0,2773.0,800701.0,138.0,183639.0,200057.0,450000.0,192345.0,600644.0,3,بورس,60523145697836739
4809,7,1393.0,17808.0,68889.0,650599.0,0.0,777001.0,31139.0,558397.0,2753.0,1382368.0,33063.0,303920.0,327868.0,900000.0,424730.0,1054500.0,3,بورس,60523145697836739
4810,8,1394.0,14145.0,35617.0,478029.0,0.0,580362.0,34839.0,920432.0,3198.0,1555892.0,0.0,174088.0,209860.0,1250000.0,302273.0,1346032.0,3,بورس,60523145697836739
4811,9,1395.0,34729.0,0.0,333571.0,0.0,460780.0,34839.0,1357459.0,3138.0,1892535.0,0.0,261430.0,309683.0,1250000.0,320388.0,1582852.0,3,بورس,60523145697836739
4812,10,1396.0,39272.0,0.0,14989.0,0.0,229973.0,34839.0,1971454.0,31581.0,2300985.0,0.0,502861.0,556105.0,1250000.0,322409.0,1744880.0,3,بورس,60523145697836739
4813,1,1387.0,,,,,,,,,,,,,,,,6,بورس,60523145697836739
4814,2,1388.0,,,,,,,,,,,,,,,,6,بورس,60523145697836739
4815,3,1389.0,18205.0,13274.0,146160.0,0.0,198311.0,30221.0,103113.0,893.0,386553.0,1125.0,51121.0,56063.0,300000.0,105167.0,330490.0,6,بورس,60523145697836739
4816,4,1390.0,8664.0,22179.0,250477.0,0.0,305099.0,31299.0,102544.0,1444.0,502537.0,0.0,88066.0,95647.0,300000.0,64559.0,406890.0,6,بورس,60523145697836739
4817,5,1391.0,13449.0,17991.0,154296.0,0.0,207930.0,31299.0,254972.0,1293.0,556156.0,8042.0,57990.0,69462.0,450000.0,115994.0,486694.0,6,بورس,60523145697836739
4818,6,1392.0,26463.0,30058.0,310000.0,0.0,396108.0,31299.0,412993.0,2687.0,904731.0,64730.0,192756.0,209966.0,450000.0,154300.0,694765.0,6,بورس,60523145697836739
4819,7,1393.0,27254.0,20097.0,481500.0,0.0,564672.0,34839.0,656575.0,2727.0,1278839.0,0.0,134688.0,160767.0,1100000.0,139588.0,1118072.0,6,بورس,60523145697836739
4820,8,1394.0,9903.0,36483.0,372050.0,0.0,465628.0,34839.0,1000905.0,3148.0,1530932.0,0.0,203002.0,240430.0,1100000.0,101126.0,1290502.0,6,بورس,60523145697836739
4821,9,1395.0,53359.0,0.0,170479.0,0.0,326443.0,34839.0,1534477.0,18786.0,1946792.0,0.0,379343.0,429599.0,1250000.0,151644.0,1517193.0,6,بورس,60523145697836739
4822,10,1396.0,14313.0,0.0,23500.0,483.0,218985.0,34839.0,2076098.0,55164.0,2417100.0,0.0,608647.0,731303.0,1250000.0,262472.0,1685797.0,6,بورس,60523145697836739
4823,1,1387.0,,,,,,,,,,,,,,,,9,بورس,60523145697836739
4824,2,1388.0,,,,,,,,,,,,,,,,9,بورس,60523145697836739
4825,3,1389.0,,,,,,,,,,,,,,,,9,بورس,60523145697836739
4826,4,1390.0,36519.0,16052.0,127360.0,0.0,199006.0,31299.0,211496.0,1371.0,504524.0,0.0,58365.0,66476.0,300000.0,87927.0,438048.0,9,بورس,60523145697836739
4827,5,1391.0,10319.0,20553.0,210000.0,0.0,268181.0,31299.0,263300.0,2945.0,626831.0,31199.0,73329.0,85489.0,300000.0,156980.0,541342.0,9,بورس,60523145697836739
4828,6,1392.0,12368.0,56187.0,510000.0,0.0,612372.0,31299.0,434981.0,2646.0,1141603.0,98211.0,255639.0,273763.0,450000.0,284107.0,867840.0,9,بورس,60523145697836739
4829,7,1393.0,13107.0,4049.0,446452.0,0.0,500817.0,34839.0,796472.0,2956.0,1353059.0,0.0,115799.0,142844.0,1100000.0,200410.0,1210215.0,9,بورس,60523145697836739
4830,8,1394.0,13396.0,35910.0,248385.0,0.0,349677.0,35339.0,1162633.0,3114.0,1572708.0,0.0,203431.0,242412.0,1250000.0,130971.0,1330296.0,9,بورس,60523145697836739
4831,9,1395.0,32996.0,0.0,126395.0,0.0,296765.0,34839.0,1643700.0,26814.0,2057858.0,0.0,407677.0,459822.0,1250000.0,212276.0,1598036.0,9,بورس,60523145697836739
4832,10,1396.0,,,,,,,,,,,,,,,,9,بورس,60523145697836739
4833,1,1386.0,,,,,,,,,,,,,,,,12,بورس,60523145697836739
4834,2,1387.0,9607.0,17903.0,160000.0,0.0,196264.0,30221.0,53537.0,638.0,300257.0,19474.0,37064.0,44308.0,150000.0,68786.0,255949.0,12,بورس,60523145697836739
